ts,mag_0,mag_1,mag_2,extmag_0,extmag_1,extmag_2,gyro_0,gyro_1,gyro_2,gyro_temp,extgyro_0,extgyro_1,extgyro_2,fss_raw_0,fss_raw_1,fss_raw_2,fss_raw_3,fss_raw_4,fss_raw_5,fss_raw_6,fss_raw_7,fss_raw_8,fss_raw_9,fss_raw_10,fss_raw_11,fss_raw_12,fss_raw_13,fss_raw_14,fss_raw_15,fss_raw_16,fss_raw_17,fss_raw_18,fss_raw_19,fss_raw_20,fss_raw_21,fss_raw_22,fss_raw_23,st_raw_0,st_raw_1,st_raw_2,st_raw_3,st_valid_0,st_valid_1,st_valid_2,st_valid_3,status_str,ephem_suneci_0,ephem_suneci_1,ephem_suneci_2,ephem_mageci_0,ephem_mageci_1,ephem_mageci_2
1642723770,-121.54883575439453,508.4749450683594,29.008102416992188,-114.6158447265625,506.06524658203125,90.2348403930664,0.03365504741668701,0.018618226051330566,0.13807758688926697,14.735882759094238,0.0,0.0,0.0,548,238,251,583,1023,856,4382,5047,470,174,129,354,5152,2403,2451,5294,1028,1092,1007,1006,119,412,363,89,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75703156736.0,-115921534976.0,-50251243520.0,-4034.60791015625,-38761.03125,-31485.63671875
1642723780,-107.85104370117188,513.6619873046875,14.577030181884766,-98.21318054199219,511.0409240722656,72.39322662353516,0.03453624248504639,0.03889113664627075,0.1657518744468689,14.756470680236816,0.0,0.0,0.0,497,211,226,537,1163,999,4493,5073,479,174,142,402,5163,2308,2328,5246,991,1078,1059,1013,108,390,349,84,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75703156736.0,-115921534976.0,-50251243520.0,-4172.66259765625,-38218.59375,-32321.384765625
1642723790,-85.73699188232422,513.9663696289062,-0.19639089703559875,-80.3583755493164,515.5795288085938,56.92162322998047,0.06251227855682373,0.06617426872253418,0.18647156655788422,14.768235206604004,0.0,0.0,0.0,463,193,204,496,1276,1123,4583,5091,480,173,154,446,5173,2239,2233,5205,955,1051,1086,1008,100,372,340,81,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75703156736.0,-115921534976.0,-50251243520.0,-4310.44287109375,-37653.11328125,-33141.38671875
1642723800,-71.22857666015625,519.1696166992188,-15.377431869506836,-61.79208755493164,518.7371215820312,40.1229362487793,0.04329264163970947,0.03131270408630371,0.1661842316389084,14.800588607788086,0.0,0.0,0.0,431,181,187,452,1405,1264,4680,5107,479,177,171,492,5184,2155,2128,5154,912,1014,1103,996,92,363,331,77,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75704426496.0,-115920838656.0,-50250940416.0,-4434.1240234375,-37124.73828125,-33865.3359375
1642723810,-50.034698486328125,522.76318359375,-31.82561683654785,-44.948970794677734,521.1023559570312,24.828947067260742,0.02243649959564209,0.06574809551239014,0.1661265790462494,14.794706344604492,0.0,0.0,0.0,411,174,174,414,1522,1398,4765,5121,473,176,187,527,5192,2073,2033,5102,875,974,1103,976,83,357,322,74,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75704426496.0,-115920838656.0,-50250940416.0,-4571.11474609375,-36516.40234375,-34653.48046875
1642723820,-30.223297119140625,522.9407958984375,-41.2198486328125,-25.245115280151367,522.269775390625,7.452481746673584,0.038060903549194336,0.030697166919708252,0.20089960098266602,14.838823318481445,0.0,0.0,0.0,399,163,164,382,1649,1549,4859,5131,459,177,206,557,5199,1978,1926,5038,840,930,1088,951,75,348,316,73,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75704426496.0,-115920838656.0,-50250940416.0,-4693.94482421875,-35950.078125,-35347.63671875
1642723830,-17.74391746520996,525.1172485351562,-64.99314880371094,-6.554588317871094,521.7268676757812,-9.616693496704102,0.07202398777008057,0.023971080780029297,0.2008131444454193,14.829999923706055,0.0,0.0,0.0,396,156,157,365,1774,1708,4951,5132,442,184,222,573,5205,1876,1819,4965,815,892,1071,928,67,336,310,67,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75704426496.0,-115920838656.0,-50250940416.0,-4829.79052734375,-35300.29296875,-36101.4375
1642723840,6.970040798187256,523.7498168945312,-78.06607818603516,14.189556121826172,520.5972290039062,-26.15008544921875,0.059798240661621094,0.05774348974227905,0.16681835055351257,14.865294456481934,0.0,0.0,0.0,398,148,156,357,1903,1870,5037,5129,425,186,242,581,5204,1758,1702,4885,800,862,1046,910,59,316,306,65,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75704426496.0,-115920838656.0,-50250940416.0,-4964.8681640625,-34629.34765625,-36836.1484375
1642723850,30.591808319091797,520.1058349609375,-97.37142944335938,35.24551773071289,518.0835571289062,-42.830902099609375,0.08128392696380615,0.0368075966835022,0.1944926381111145,14.885882377624512,0.0,0.0,0.0,401,139,153,365,2026,2040,5122,5121,411,180,259,578,5205,1635,1579,4786,792,850,1013,898,53,294,303,62,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75705630720.0,-115920175104.0,-50250653696.0,-5099.08935546875,-33937.66015625,-37551.09375
1642723860,46.55891036987305,517.3406372070312,-118.55178833007812,56.26641082763672,514.3359985351562,-59.25455093383789,0.0681769847869873,0.009098351001739502,0.17403237521648407,14.900588035583496,0.0,0.0,0.0,396,126,149,385,2149,2212,5201,5106,409,185,273,568,5204,1501,1448,4671,796,853,989,897,45,273,307,60,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75705630720.0,-115920175104.0,-50250653696.0,-5232.3125,-33225.8046875,-38245.57421875
